,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
OSTF11,2.89648006645392e-05,0.364278977490614,0.32,0.193,0.606522925915451,8,OSTF1
RTF2,2.93934078204064e-05,0.397888502391972,0.275,0.155,0.61549795975931,8,RTF2
MIS18BP1,3.70401963598925e-05,0.893215315095869,0.255,0.142,0.77562171177615,8,MIS18BP1
ABHD17A1,3.77869301806257e-05,1.48555813971595,0.569,0.416,0.791258317982301,8,ABHD17A
SMAP21,4.81184403406372e-05,0.956498946233866,0.575,0.434,1,8,SMAP2
CENPC,5.47926090712794e-05,0.398311708339075,0.346,0.216,1,8,CENPC
TAOK31,5.8778908339658e-05,0.266828110879045,0.327,0.196,1,8,TAOK3
CPNE11,6.29434512710023e-05,0.537922099181354,0.307,0.188,1,8,CPNE1
LY6E1,6.61419274399229e-05,4.05652228898406,0.484,0.346,1,8,LY6E
PTPN71,8.15828871515924e-05,0.83055508096787,0.275,0.166,1,8,PTPN7
CD1641,8.42000740406064e-05,0.786883937482358,0.405,0.284,1,8,CD164
YWHAQ2,8.71083179151642e-05,0.573033952303203,0.373,0.245,1,8,YWHAQ
FDPS,9.09045908936457e-05,0.32260163976364,0.255,0.144,1,8,FDPS
BSG1,9.38565709588934e-05,0.315699561691669,0.281,0.164,1,8,BSG
NDUFS61,9.66831763636644e-05,0.550145312336927,0.379,0.246,1,8,NDUFS6
MRPL541,0.000102752402815223,0.39199253803408,0.392,0.256,1,8,MRPL54
PRMT1,0.000112728133065127,0.309835717507477,0.294,0.178,1,8,PRMT1
NDUFB21,0.000116880670683609,0.286374260483191,0.562,0.407,1,8,NDUFB2
DDX461,0.000121210894911196,0.934509756585049,0.529,0.383,1,8,DDX46
NDUFB72,0.000126435749987473,1.18259023799296,0.471,0.328,1,8,NDUFB7
HELZ,0.000132572086055653,0.973956025688166,0.261,0.152,1,8,HELZ
ATF4,0.000136399229618418,0.314984610021314,0.327,0.204,1,8,ATF4
TAPBP1,0.000140333337423766,0.930241943966313,0.464,0.338,1,8,TAPBP
COX5A2,0.000144076734205458,0.290982330546485,0.399,0.268,1,8,COX5A
CKLF4,0.000150509262359039,0.962922428350086,0.353,0.227,1,8,CKLF
PPP1R15A1,0.00016301297138014,5.8604865331156,0.627,0.489,1,8,PPP1R15A
AC245297.31,0.000167243375815286,0.41929665082977,0.327,0.203,1,8,AC245297.3
PRMT22,0.000184070732251167,0.666987333715884,0.601,0.449,1,8,PRMT2
PPP1R12A2,0.000201470111986552,0.32584709955994,0.392,0.264,1,8,PPP1R12A
WSB1,0.000261486034064629,0.79581896991891,0.255,0.153,1,8,WSB1
ATP6V0C2,0.00026787742038047,0.865855226572995,0.438,0.315,1,8,ATP6V0C
P4HB2,0.000277288117443499,0.273056547411813,0.314,0.197,1,8,P4HB
APOL61,0.00028718262152587,0.784008754442065,0.275,0.164,1,8,APOL6
PARP82,0.000305992877759149,0.358630972904058,0.327,0.208,1,8,PARP8
DNAJA13,0.00030735362746201,1.19135056679004,0.418,0.304,1,8,DNAJA1
BTG2,0.000315908492705922,16.9011809034327,0.582,0.445,1,8,BTG2
TLE4,0.000320047111884517,0.715620939842197,0.307,0.194,1,8,TLE4
FAM49B1,0.000322577599174735,0.333113127748527,0.34,0.224,1,8,FAM49B
OPTN4,0.000356550028212811,0.419824776123538,0.366,0.234,1,8,OPTN
IL10RA3,0.000417016961441345,0.912931314505951,0.307,0.202,1,8,IL10RA
CASP41,0.000444161169070883,0.452066459487582,0.314,0.203,1,8,CASP4
SLC38A12,0.00052845780943148,1.43358375791236,0.458,0.327,1,8,SLC38A1
XBP1,0.000562337904166341,0.487980640924648,0.268,0.167,1,8,XBP1
NDUFS82,0.000575785201168106,0.427217283646018,0.307,0.196,1,8,NDUFS8
IQGAP23,0.00060194528775596,0.257022190197178,0.379,0.261,1,8,IQGAP2
CHD4,0.000613335365350021,0.67711274445848,0.288,0.185,1,8,CHD4
SERPINB11,0.000615237871480338,1.1821997954795,0.333,0.229,1,8,SERPINB1
PRELID11,0.000618411475392647,0.87216244387857,0.444,0.336,1,8,PRELID1
COPE1,0.000645142712318071,0.417218361118729,0.438,0.319,1,8,COPE
PCMTD1,0.000702294480436315,0.600884955333586,0.261,0.165,1,8,PCMTD1
FMNL12,0.000756975325196819,0.601113884999992,0.359,0.244,1,8,FMNL1
SYNRG,0.000961698581204518,0.461610306452547,0.359,0.246,1,8,SYNRG
PSMB92,0.00102033672063883,0.982085417727676,0.549,0.435,1,8,PSMB9
PSMA51,0.00113802775490117,0.276759493588034,0.275,0.176,1,8,PSMA5
HMGN31,0.00115486329788426,0.421763662460052,0.346,0.238,1,8,HMGN3
GADD45B2,0.00116494735903381,0.79318857218164,0.366,0.264,1,8,GADD45B
RBM251,0.00117872002827316,0.548634784925288,0.523,0.394,1,8,RBM25
RBM8A1,0.0012026680391023,1.3705545075,0.405,0.289,1,8,RBM8A
BCLAF11,0.00120675519908686,0.861457663035264,0.516,0.394,1,8,BCLAF1
WIPF11,0.00129102590309738,0.845718676993734,0.366,0.26,1,8,WIPF1
KMT2E4,0.00139301825916388,0.636600748589154,0.562,0.442,1,8,KMT2E
REEP51,0.00143130433808124,0.456536363181127,0.281,0.183,1,8,REEP5
ITGA4,0.00143498345441953,0.255119446674596,0.484,0.365,1,8,ITGA4
PJA21,0.0019874023582269,0.90412226142963,0.314,0.213,1,8,PJA2
AC008875.31,0.00226539739778152,0.419700882423107,0.268,0.177,1,8,AC008875.3
RBX11,0.0024665949131037,0.409528846794267,0.307,0.208,1,8,RBX1
IL2RG3,0.00260485095482762,0.819713971362664,0.621,0.493,1,8,IL2RG
SF3B6,0.00276626232989047,0.433035078811525,0.386,0.275,1,8,SF3B6
BANF11,0.00328251570861389,0.396132599997206,0.275,0.183,1,8,BANF1
MAP2K21,0.00334677398815609,0.604856317302152,0.366,0.272,1,8,MAP2K2
ELOB2,0.00360705979024961,0.252429167370245,0.562,0.466,1,8,ELOB
ATP5F1C,0.00393753055207014,0.26641627051735,0.307,0.219,1,8,ATP5F1C
KHDRBS1,0.0050191193352841,0.613149422043013,0.34,0.24,1,8,KHDRBS1
NRDC,0.00550933017308289,0.357205637789958,0.261,0.182,1,8,NRDC
SRSF34,0.00561517405854605,0.41432503576266,0.562,0.457,1,8,SRSF3
PPM1G1,0.00633289610799018,0.781119844632626,0.327,0.23,1,8,PPM1G
MAP1LC3B1,0.00637233400005838,1.45559195291978,0.294,0.204,1,8,MAP1LC3B
IRF9,0.00717711147343821,0.256783867873747,0.288,0.206,1,8,IRF9
TMED101,0.00729035983683777,0.456563758956724,0.307,0.219,1,8,TMED10
HNRNPK1,0.00743878139022118,0.461858778914686,0.51,0.411,1,8,HNRNPK
PDCD41,0.00746860804780136,3.01750253485493,0.386,0.295,1,8,PDCD4
PYHIN12,0.00795577224247033,0.279194811150064,0.261,0.181,1,8,PYHIN1
SRP191,0.00801810965239242,0.281601563590159,0.307,0.218,1,8,SRP19
SET1,0.00813228606694596,1.57141297899388,0.641,0.55,1,8,SET
UBE2M1,0.00868546885359511,0.252211557857429,0.261,0.183,1,8,UBE2M
DNTTIP21,0.00898439813711632,0.464029871724243,0.288,0.203,1,8,DNTTIP2
YTHDC11,0.0097226212111989,0.429829410798459,0.392,0.305,1,8,YTHDC1
VDAC2,0.00984590939594945,0.309459916039691,0.294,0.212,1,8,VDAC2
ITM2B1,1.62510307371039e-22,2.55968840105032,0.412,0.795,3.40296583634957e-18,9,ITM2B
PSME12,3.44864370393733e-17,0.546972613147063,0.182,0.547,7.22145991604477e-13,9,PSME1
PNRC1,4.73266754467286e-16,2.31207838247559,0.601,0.86,9.91020583854496e-12,9,PNRC1
SRSF51,2.07917978652626e-13,1.46988510904889,0.615,0.816,4.35380247298598e-09,9,SRSF5
RPS101,3.12551509407474e-13,0.484159692397244,0.27,0.569,6.5448286069925e-09,9,RPS10
ERP291,1.0683380025345e-10,0.786217975538494,0.27,0.54,2.23709977730724e-06,9,ERP29
IL2RG4,2.96363964879111e-09,0.63708705496874,0.27,0.497,6.20586142456858e-05,9,IL2RG
TOMM202,3.86001325410004e-08,2.00504401902976,0.284,0.509,0.000808286775408547,9,TOMM20
SETD2,5.51104674071281e-08,0.579368696062384,0.345,0.177,0.00115401318750526,9,SETD2
